id,name,type,year
gintama-futon-ni-haitte-kara-buki-nokoshi-ni-kizuite-neru-ni-nerenai-toki-mo-aru,"Gintama': Futon ni Haitte kara Buki Nokoshi ni Kizuite Neru ni Nerenai Toki mo Aru",anime,
gintama-enchousen,"Gintama': Enchousen",anime,
dragon-ball-z,"Dragon Ball Z",anime,
goblin-slayer,"Goblin Slayer",anime,
goblin-slayer-goblin-s-crown,"Goblin Slayer: Goblin's Crown",anime,
good-night-world,"Good Night World",anime,
gotoubun-no-hanayome-2024-2,"Gotoubun no Hanayome 2024",anime,
gyakuten-sekai-no-denchi-shoujo,"Gyakuten Sekai no Denchi Shoujo",anime,
hajimete-no-gal,"Hajimete no Gal",anime,
hajimete-no-gal-hajimete-no-bunkasai,"Hajimete no Gal: Hajimete no Bunkasai",anime,
hakuouki-ova-2021-2,"Hakuouki OVA (2021)",anime,
hametsu-no-oukoku,"Hametsu no Oukoku",anime,
hajime-no-ippo,"Hajime no Ippo",anime,
helck,"Helck",anime,
higurashi-no-naku-koro-ni-2020-2,"Higurashi no Naku Koro ni (2020)",anime,
hirogaru-sky-precure,"Hirogaru Sky! Precure",anime,
horimiya-piece,"Horimiya: Piece",anime,
hoshi-no-samidare,"Hoshi no Samidare",anime,
human-bug-daigaku,"Human Bug Daigaku",anime,
hyouken-no-majutsushi-ga-sekai-wo-suberu,"Hyouken no Majutsushi ga Sekai wo Suberu",anime,
hypnosis-mic-division-rap-battle-rhyme-anima,"Hypnosis Mic: Division Rap Battle - Rhyme Anima",anime,
ijiranaide-nagatoro-san,"Ijiranaide, Nagatoro-san",anime,
isekai-nonbiri-nouka,"Isekai Nonbiri Nouka",anime,
isekai-ojisan,"Isekai Ojisan",anime,
isekai-one-turn-kill-neesan-ane-douhan-no-isekai-seikatsu-hajimemashita,"Isekai One Turn Kill Neesan: Ane Douhan no Isekai Seikatsu Hajimemashita",anime,
isekai-shoukan-wa-nidome-desu,"Isekai Shoukan wa Nidome desu",anime,
isekai-wa-smartphone-to-tomo-ni,"Isekai wa Smartphone to Tomo ni",anime,
itai-no-wa-iya-nano-de-bougyoryoku-ni-kyokufuri-shitai-to-omoimasu,"Itai no wa Iya nano de Bougyoryoku ni Kyokufuri Shitai to Omoimasu",anime,
itou-junji-maniac,"Itou Junji: Maniac",anime,
jaku-chara-tomozaki-kun-specials,"Jaku-Chara Tomozaki-kun Specials",anime,
jigoku-sensei-nube-2025-2,"Jigoku Sensei Nube (2025)",anime,
hunter-x-hunter-2011,"Hunter x Hunter (2011)",anime,
jitsu-wa-ore-saikyou-deshita,"Jitsu wa Ore, Saikyou deshita?",anime,
journey-taiko-arabia-hantou-de-no-kiseki-to-tatakai-no-monogatari-ومدبلج,"Journey: Taiko Arabia Hantou de no Kiseki to Tatakai no Monogatari ومدبلج",anime,
k-seven-stories-movie-1-r-b-blaze,"K: Seven Stories Movie 1 - R:B - Blaze",anime,
k-seven-stories-movie-2-side-blue-tenrou-no-gotoku,"K: Seven Stories Movie 2 - Side:Blue - Tenrou no Gotoku",anime,
k-project,"K-Project",anime,
k-seven-stories-movie-3-side-green-uwagaki-sekai,"K: Seven Stories Movie 3 - Side:Green - Uwagaki Sekai",anime,
k-return-of-kings,"K: Return of Kings",anime,
kaifuku-jutsushi-no-yarinaoshi,"Kaifuku Jutsushi no Yarinaoshi",anime,
kakegurui-twin,"Kakegurui Twin",anime,
kaminaki-sekai-no-kamisama-katsudou,"Kaminaki Sekai no Kamisama Katsudou",anime,
kanata-no-astra,"Kanata no Astra",anime,
kanojo-ga-koushaku-tei-ni-itta-riyuu,"Kanojo ga Koushaku-tei ni Itta Riyuu",anime,
kawaisugi-crisis,"Kawaisugi Crisis",anime,
kawagoe-boys-sing,"Kawagoe Boys Sing",anime,
keikenzumi-na-kimi-to-keiken-zero-na-ore-ga-otsukiai-suru-hanashi,"Keikenzumi na Kimi to, Keiken Zero na Ore ga, Otsukiai suru Hanashi",anime,
kekkai-sensen-beyond,"Kekkai Sensen & Beyond",anime,
kibou-no-chikara-otona-precure-23,"Kibou no Chikara: Otona Precure '23",anime,
kenpuu-denki-berserk-berserk-1997-2,"Kenpuu Denki Berserk (Berserk 1997)",anime,
kikansha-no-mahou-wa-tokubetsu-desu,"Kikansha no Mahou wa Tokubetsu desu",anime,
king-s-raid-ishi-wo-tsugumono-tachi,"King's Raid: Ishi wo Tsugumono-tachi",anime,
kizumonogatari-i-tekketsu-hen,"Kizumonogatari I: Tekketsu-hen",anime,
kizumonogatari-ii-nekketsu-hen,"Kizumonogatari II: Nekketsu-hen",anime,
kizumonogatari-iii-reiketsu-hen,"Kizumonogatari III: Reiketsu-hen",anime,
kono-subarashii-sekai-ni-shukufuku-wo-2-kono-subarashii-geijutsu-ni-shukufuku-wo,"Kono Subarashii Sekai ni Shukufuku wo! 2: Kono Subarashii Geijutsu ni Shukufuku wo!",anime,
kono-subarashii-sekai-ni-shukufuku-wo-2,"Kono Subarashii Sekai ni Shukufuku wo! 2",anime,
kono-subarashii-sekai-ni-bakuen-wo,"Kono Subarashii Sekai ni Bakuen wo!",anime,
kono-subarashii-sekai-ni-shukufuku-wo-kono-subarashii-choker-ni-shukufuku-wo,"Kono Subarashii Sekai ni Shukufuku wo!: Kono Subarashii Choker ni Shukufuku wo!",anime,
konyaku-haki-sareta-reijou-wo-hirotta-ore-ga-ikenai-koto-wo-oshiekomu,"Konyaku Haki sareta Reijou wo Hirotta Ore ga, Ikenai Koto wo Oshiekomu",anime,
