name,rawName,type_or_year,servers
"Back to the Outback 2021 مدبلج","فيلم Back to the Outback 2021 مدبلج","2021","8"
"The Return of Jafar 1994 مدبلج","فيلم The Return of Jafar 1994 مدبلج","1994","9"
"Aladdin and the King of Thieves 1996 مدبلج","فيلم Aladdin and the King of Thieves 1996 مدبلج","1996","8"
"Bumblebee 2018","فيلم Bumblebee 2018 مترجم","2018","8"
"Transformers The Last Knight 2017","فيلم Transformers The Last Knight 2017 مترجم","2017","8"
"John Wick 3 Parabellum 2019","فيلم John Wick 3 Parabellum 2019 مترجم","2019","5"
"John Wick 2 2017","فيلم John Wick 2 2017 مترجم","2017","6"
"John Wick 2014","فيلم John Wick 2014 مترجم","2014","5"
"Transformers: Age of Extinction 2014","فيلم Transformers: Age of Extinction 2014 مترجم","2014","8"
"Transformers: Dark of the Moon 2011","فيلم Transformers: Dark of the Moon 2011 مترجم","2011","8"
"Haikyuu Final The Dumpster Battle 2024","فيلم Haikyuu Final The Dumpster Battle 2024 مترجم","2024","5"
"Chainsaw Man The Movie Reze Arc 2025","فيلم Chainsaw Man The Movie Reze Arc 2025 مترجم","2025","8"
"Hi-Five 2025","فيلم Hi-Five 2025 مترجم","2025","8"
"Transformers: Revenge of the Fallen 2009","فيلم Transformers: Revenge of the Fallen 2009 مترجم","2009","8"
"Transformers 2007","فيلم Transformers 2007 مترجم","2007","10"
"Little Amelie or the Character of Rain 2025","فيلم Little Amelie or the Character of Rain 2025 مترجم","2025","8"
"Detective Conan One Eyed Flashback 2025","فيلم Detective Conan One Eyed Flashback 2025 مترجم","2025","10"
"The Negotiator 2025","فيلم The Negotiator 2025 مترجم","2025","8"
"Belen 2025","فيلم Belen 2025 مترجم","2025","9"
"عالمان امنية واحدة 2025 مدبلج","فيلم عالمان امنية واحدة 2025 مدبلج","2025","10"
"Two Worlds One Wish 2025","فيلم Two Worlds One Wish 2025 مترجم","2025","10"
"2025 A Working Man مدبلج","فيلم 2025 A Working Man مدبلج","2025","8"
"الدكتور سوس ذا سنيتشز 2025 مدبلج","فيلم الدكتور سوس ذا سنيتشز 2025 مدبلج","2025","10"
"ليفتر قصة غير عادية 2025 مدبلج","فيلم ليفتر قصة غير عادية 2025 مدبلج","2025","9"
"Fuuto Tantei Kamen Rider Skull 2024","فيلم Fuuto Tantei Kamen Rider Skull 2024 مترجم","2024","9"
"في احلامكما 2025 مدبلج","فيلم في احلامكما 2025 مدبلج","2025","9"
"Utusan Iblis 2025","فيلم Utusan Iblis 2025 مترجم","2025","9"
"العطلة الاخيرة 2025 مدبلج","فيلم العطلة الاخيرة 2025 مدبلج","2025","10"
"Dr Seuss’s the Sneetches 2025","فيلم Dr Seuss’s the Sneetches 2025 مترجم","2025","10"
"Jumanji 1995","فيلم Jumanji 1995 مترجم","1995","7"
"Tangled 2010","فيلم Tangled 2010 مترجم","2010","9"
"السنافر 2025 مدبلج","فيلم السنافر 2025 مدبلج","2025","5"
"Your Fault 2 2024","فيلم Your Fault 2 2024 مترجم","2024","8"
"Trainwreck Balloon Boy 2025","فيلم Trainwreck Balloon Boy 2025 مترجم","2025","6"
"A Girl Upstairs 2024","فيلم A Girl Upstairs 2024 مترجم","2024","8"
"300 Rise of an Empire 2014","فيلم 300 Rise of an Empire 2014 مترجم","2014","7"
"Forced Vacation 2025","فيلم Forced Vacation 2025 مترجم","2025","9"
"Surviving Ohio State 2025","فيلم Surviving Ohio State 2025 مترجم","2025","4"
"A Quiet Place 3 Day One 2024","فيلم A Quiet Place 3 Day One 2024 مترجم","2024","6"
"Bikini Nuns 2025","فيلم Bikini Nuns 2025 مترجم","2025","7"
"Jumanji The Next Level 2019","فيلم Jumanji The Next Level 2019 مترجم","2019","7"
"Ejen Ali the Movie 2 2025","فيلم Ejen Ali the Movie 2 2025 مترجم","2025","8"
"Blue Sun Palace 2024","فيلم Blue Sun Palace 2024 مترجم","2024","8"
"Furioza 2021","فيلم Furioza 2021 مترجم","2021","8"
"Aladdin 2019","فيلم Aladdin 2019 مترجم","2019","6"
"السيد المرعب 2025 مدبلج","فيلم السيد المرعب 2025 مدبلج","2025","7"
"Look Whos Back 2015","فيلم Look Whos Back 2015 مترجم","2015","6"
"Culpa nuestra 2025","فيلم Culpa nuestra 2025 مترجم","2025","9"
"Jumanji Welcome to the Jungle 2017","فيلم Jumanji Welcome to the Jungle 2017 مترجم","2017","7"
"Shell 2024","فيلم Shell 2024 مترجم","2024","8"
"Mononoke the Movie Chapter II – The Ashes of Rage 2025","فيلم Mononoke the Movie Chapter II – The Ashes of Rage 2025 مترجم","2025","7"
"دعها للرياح 2025","فيلم دعها للرياح 2025 مترجم","2025","8"
"2006 300","فيلم 2006 300 مترجم","2006","7"
"Street Queens 2025","فيلم Street Queens 2025 مترجم","2025","6"
"Thomas and Friends Sodor Sings Together 2025","فيلم Thomas and Friends Sodor Sings Together 2025 مترجم","2025","8"
"The Heirloom 2024","فيلم The Heirloom 2024 مترجم","2024","6"
"عطارد هو سبب كل شيء 2024","فيلم عطارد هو سبب كل شيء 2024 مترجم","2024","6"
"Attack on Titan the Movie The Last Attack 2024","فيلم Attack on Titan the Movie The Last Attack 2024 مترجم","2024","6"
"الكهف الازرق 2024 مدبلج","فيلم الكهف الازرق 2024 مدبلج","2024","6"
"Culpa Tuya 2024","فيلم Culpa Tuya 2024 مترجم","2024","8"
"Venom 2018","فيلم Venom 2018 مترجم","2018","6"
"Public Enemies 2009","فيلم Public Enemies 2009 مترجم","2009","7"
"ال تويت 2025 مدبلج","فيلم ال تويت 2025 مدبلج","2025","6"
"المصير 2024","فيلم المصير 2024 مترجم","2024","5"
"Best Regards to All 2023","فيلم Best Regards to All 2023 مترجم","2023","6"
"0000 Kilometre 2024","فيلم 0000 Kilometre 2024 مترجم","2024","6"
"خطأنا 2025 مدبلج","فيلم خطأنا 2025 مدبلج","2025","8"
"الفريق ج 2 C Takimi 2 2025","فيلم الفريق ج 2 C Takimi 2 2025 مترجم","2025","9"
"Solo A Star Wars Story 2018","فيلم Solo A Star Wars Story 2018 مترجم","2018","7"
"رابونزل Tangled 2010 مدبلج","فيلم رابونزل Tangled 2010 مدبلج","2010","9"
"The Fault in Our Stars 2014","فيلم The Fault in Our Stars 2014 مترجم","2014","7"
"2012 The Hobbit An Unexpected Journey","فيلم 2012 The Hobbit An Unexpected Journey مترجم","2012","5"
"The Hobbit The Desolation of Smaug 2013","فيلم The Hobbit The Desolation of Smaug 2013 مترجم","2013","6"
"The Deceased 2025","فيلم The Deceased 2025 مترجم","2025","9"
"Apocalypse in the Tropics 2025","فيلم Apocalypse in the Tropics 2025 مترجم","2025","6"
"الرحلة الاخيرة 2025","فيلم الرحلة الاخيرة 2025 مترجم","2025","6"
"With or Without You 2024","فيلم With or Without You 2024 مترجم","2024","6"
"الفار الطباخ Ratatouille 2007 مدبلج","فيلم الفار الطباخ Ratatouille 2007 مدبلج","2007","8"
"املي الاخير 2025 مدبلج","فيلم املي الاخير 2025 مدبلج","2025","6"
"Ikimizin Yerine 2016","فيلم Ikimizin Yerine 2016 مترجم","2016","4"
"الابطال 2025","فيلم الابطال 2025 مترجم","2025","6"
"قلبا وقالبا 2 2024 مدبلج","فيلم قلبا وقالبا 2 2024 مدبلج","2024","5"
"Venom Let There Be Carnage 2021","فيلم Venom Let There Be Carnage 2021 مترجم","2021","6"
"The Hobbit The Battle of the Five Armies 2014","فيلم The Hobbit The Battle of the Five Armies 2014 مترجم","2014","6"
"انت اخر 2025","فيلم انت اخر 2025 مترجم","2025","9"
"الرجل المتروك 2025","فيلم الرجل المتروك 2025 مترجم","2025","10"
"3391 km","فيلم 3391 km مترجم","","5"
"Who Framed Roger Rabbit 1988","فيلم Who Framed Roger Rabbit 1988 مترجم","1988","4"
"Legends of the Condor Heroes The Gallants 2025","فيلم Legends of the Condor Heroes The Gallants 2025 مترجم","2025","5"
"The Other 2025","فيلم The Other 2025 مترجم","2025","4"
"The Glorias 2020","فيلم The Glorias 2020 مترجم","2020","4"
"What the Night Can Do 2020","فيلم What the Night Can Do 2020 مترجم","2020","5"
"Luck 2022","فيلم Luck 2022 مترجم","2022","5"
"My First Mister 2001","فيلم My First Mister 2001 مترجم","2001","6"
"Our American Dream 2024","فيلم Our American Dream 2024 مترجم","2024","6"
"Secret Delivery 2025","فيلم Secret Delivery 2025 مترجم","2025","5"
"The English Teacher 2013","فيلم The English Teacher 2013 مترجم","2013","5"
"Gattaca 1997","فيلم Gattaca 1997 مترجم","1997","5"
"Autumn Sonata 1978","فيلم Autumn Sonata 1978 مترجم","1978","5"
"I’m Your Venus 2024","فيلم I’m Your Venus 2024 مترجم","2024","4"
"Where Olive Trees Weep 2024","فيلم Where Olive Trees Weep 2024 مترجم","2024","5"
"Vanguard 2020","فيلم Vanguard 2020 مترجم","2020","5"
"Memento 2000","فيلم Memento 2000 مترجم","2000","5"
"Shark Whisperer 2025","فيلم Shark Whisperer 2025 مترجم","2025","5"
"Raid 2018","فيلم Raid 2018 مترجم","2018","5"
"I Don’t Understand You 2024","فيلم I Don’t Understand You 2024 مترجم","2024","6"
"Fate The Winx Saga The Afterparty 2021","فيلم Fate The Winx Saga The Afterparty 2021 مترجم","2021","6"
"Lulu Is a Rhinoceros 2025","فيلم Lulu Is a Rhinoceros 2025 مترجم","2025","6"
"A Widows Game 2025","فيلم A Widows Game 2025 مترجم","2025","6"
"Shadow of Vengeance 2024","فيلم Shadow of Vengeance 2024 مترجم","2024","5"
"12 Angry Men 1957","فيلم 12 Angry Men 1957 مترجم","1957","2"
"The Last King 2015","فيلم The Last King 2015 مترجم","2015","2"
"Catching Faith 2015","فيلم Catching Faith 2015 مترجم","2015","2"
"Heavy Metal 1981","فيلم Heavy Metal 1981 مترجم","1981","2"
"Happy New Year 2014","فيلم Happy New Year 2014 مترجم","2014","6"
"Mr Harrigan’s Phone 2022","فيلم Mr Harrigan’s Phone 2022 مترجم","2022","4"
"Tully 2018","فيلم Tully 2018 مترجم","2018","3"
"Crouching Tiger Hidden Dragon Sword of Destiny 2016","فيلم Crouching Tiger Hidden Dragon Sword of Destiny 2016 مترجم","2016","5"
"Crouching Tiger Hidden Dragon 2000","فيلم Crouching Tiger Hidden Dragon 2000 مترجم","2000","4"
"Devils Knight 2024","فيلم Devils Knight 2024 مترجم","2024","7"
"Temurun 2024","فيلم Temurun 2024 مترجم","2024","3"
"Paku Tanah Jawa 2024","فيلم Paku Tanah Jawa 2024 مترجم","2024","5"
"اخفاء صدام حسين 2023","فيلم اخفاء صدام حسين 2023 كامل","2023","5"
"حورية Houria 2022","فيلم حورية Houria 2022 مترجم","2022","5"
"Mission Impossible 7 2023","فيلم Mission Impossible 7 2023 مترجم","2023","6"
"Alien Covenant 2017","فيلم Alien Covenant 2017 مترجم","2017","6"
"Prometheus 2012","فيلم Prometheus 2012 مترجم","2012","5"
"Alien Resurrection 1997","فيلم Alien Resurrection 1997 مترجم","1997","3"
"Alien 3 1992","فيلم Alien 3 1992 مترجم","1992","4"
"Aliens 1986","فيلم Aliens 1986 مترجم","1986","4"
"Alien 1979","فيلم Alien 1979 مترجم","1979","3"
"Detective Conan Movie 26: Black Iron Submarine 2023","فيلم Detective Conan Movie 26: Black Iron Submarine 2023 مترجم","2023","6"
"Zathura A Space Adventure 2005","فيلم Zathura A Space Adventure 2005 مترجم","2005","4"
"The Boy and the Heron 2023","فيلم The Boy and the Heron 2023 مترجم","2023","6"
"Autumn Leaves 1956","فيلم Autumn Leaves 1956 مترجم","1956","4"
"Employee of the Month 2006","فيلم Employee of the Month 2006 مترجم","2006","4"
"Chips 2017","فيلم Chips 2017 مترجم","2017","5"
"Cells at Work 2024","فيلم Cells at Work 2024 مترجم","2024","6"
"Holy Cow 2024","فيلم Holy Cow 2024 مترجم","2024","5"
"Latin Blood The Ballad of Ney Matogrosso 2025","فيلم Latin Blood The Ballad of Ney Matogrosso 2025 مترجم","2025","6"
"Kung Fu Panda Secrets of the Scroll 2016","فيلم Kung Fu Panda Secrets of the Scroll 2016 مترجم","2016","6"
"Kung Fu Panda Holiday 2010","فيلم Kung Fu Panda Holiday 2010 مترجم","2010","6"
"Half Nelson 2006","فيلم Half Nelson 2006 مترجم","2006","5"
"I Came By 2022","فيلم I Came By 2022 مترجم","2022","5"
"المحقق كونان 27: لافتة المليون دولار 2024","فيلم المحقق كونان 27: لافتة المليون دولار 2024 مترجم","2024","7"
"Infidel 2019","فيلم Infidel 2019 مترجم","2019","6"
"مسامير جونيور 2025","فيلم مسامير جونيور 2025","2025","5"
"Kung Fu Panda Secrets of the Furious Five 2008","فيلم Kung Fu Panda Secrets of the Furious Five 2008 مترجم","2008","5"
"Twilight 1998","فيلم Twilight 1998 مترجم","1998","5"
"Stitch The Movie 2003","فيلم Stitch The Movie 2003 مترجم","2003","7"
"American Sniper 2014","فيلم American Sniper 2014 مترجم","2014","4"
"The Last 10 Years 2022","فيلم The Last 10 Years 2022 مترجم","2022","4"
"Rasputin and the Empress 1932","فيلم Rasputin and the Empress 1932 مترجم","1932","6"
"Bajrangi Bhaijaan 2015","فيلم Bajrangi Bhaijaan 2015 مترجم","2015","6"
"Drishyam 2 2022","فيلم Drishyam 2 2022 مترجم","2022","6"
"Drishyam 1 2015","فيلم Drishyam 1 2015 مترجم","2015","6"
