id,name,type,poster_source,final_status,image_url
seija-musou-salaryman-isekai-de-ikinokoru-tame-ni-ayumu-michi,"Seija Musou: Salaryman,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx155418-wLWulAHYVrE5.jpg
seiken-densetsu-legend-of-mana-the-teardrop-crystal,Seiken Densetsu: Legend of Mana - The Teardrop Crystal,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx136150-azIWKERi7SLo.jpg
seiken-gakuin-no-makentsukai,Seiken Gakuin no Makentsukai,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx140501-pXY8yUDScfHS.jpg
seishun-buta-yarou-wa-odekake-sister-no-yume-wo-minai,Seishun Buta Yarou wa Odekake Sister no Yume wo Minai,anime,user,ok,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/فيلم-seishun-buta-yarou-wa-odekake-sister-no-yume-wo-minai.jpg
sekirei,Sekirei,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx4063-ZP7agutiaOCf.png
sekirei-hajimete-no-otsukai,Sekirei: Hajimete no Otsukai,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx4063-ZP7agutiaOCf.png
sekirei-pure-engagement,Sekirei: Pure Engagement,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx5277-FVXhVU8xoY6z.png
shadowverse-flame,Shadowverse Flame,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx140085-3VhIbUc8HKYi.jpg
shaman-king-2021-2,Shaman King (2021),anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx154-hSYv4EtcBE1p.png
shingeki-no-kyojin-lost-girls,Shingeki no Kyojin: Lost Girls,anime,user,ok,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/shingeki-no-kyojin-lost-girls.png
shinkalion-change-the-world,Shinkalion: Change the World,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx172395-TESU4M0kQ94c.jpg
shinmai-maou-no-testament,Shinmai Maou no Testament,anime,user,ok,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/shinmai-maou-no-testament.png
shinmai-maou-no-testament-burst,Shinmai Maou no Testament Burst,anime,user,ok,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/shinmai-maou-no-testament-burst.jpg
shinmai-maou-no-testament-burst-toujou-basara-no-shigoku-heiwa-na-nichijou,Shinmai Maou no Testament Burst: Toujou Basara no Shigoku Heiwa na Nichijou,anime,user,ok,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/اوفا-shinmai-maou-no-testament-burst-toujou-basara-no-shigoku-heiwa-na-nichijou.jpg
shinmai-maou-no-testament-departures,Shinmai Maou no Testament Departures,anime,user,ok,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/اوفا-shinmai-maou-no-testament-departures.jpg
shinmai-maou-no-testament-toujou-basara-no-hard-sweet-na-nichijou,Shinmai Maou no Testament: Toujou Basara no Hard Sweet na Nichijou,anime,user,ok,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/اوفا-shinmai-maou-no-testament-toujou-basara-no-hard-sweet-na-nichijou.jpg
shinmai-renkinjutsushi-no-tenpo-keiei,Shinmai Renkinjutsushi no Tenpo Keiei,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx139369-uwq21xa6v1JJ.jpg
shinobi-no-ittoki,Shinobi no Ittoki,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx145604-FQ8gN4CPaiui.jpg
shiro-seijo-to-kuro-bokushi,Shiro Seijo to Kuro Bokushi,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx150972-3gNJvsyu7lwP.png
show-by-rock-stars,Show by Rock!! Stars!!,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx113476-X0y7eSl4TAHd.jpg
shuumatsu-no-walkure,Shuumatsu no Walküre,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx127399-AAH1pevCZLrB.jpg
sin-nanatsu-no-taizai,Sin: Nanatsu no Taizai,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/nx98621-V6MIFGGS9w1Q.jpg
skip-to-loafer,Skip to Loafer,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx141911-o6Jwav7hRPPM.jpg
spriggan,Spriggan,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/nx420-KIPJO7uFQ9cR.jpg
spy-kyoushitsu,Spy Kyoushitsu,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx146323-vyj1w1VRgDN7.png
suki-na-ko-ga-megane-wo-wasureta,Suki na Ko ga Megane wo Wasureta,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx160188-4RvYLaru3vKj.jpg
super-dragon-ball-heroes,Super Dragon Ball Heroes,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b102352-iTBUsIV9x7KH.jpg
sword-art-online-2,Sword Art Online,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx11757-SxYDUzdr9rh2.jpg
sword-art-online-alternative-gun-gale-online-2,Sword Art Online Alternative: Gun Gale Online,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/nx100183-v4S2sGAG3A24.jpg
sword-art-online-alternative-gun-gale-online-ii-2,Sword Art Online Alternative: Gun Gale Online II,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx167141-m8eOYiDpeN4R.jpg
sword-art-online-ii-2,Sword Art Online II,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/nx20594-FhRgZ1H9Istt.jpg
sword-art-online-movie-ordinal-scale,Sword Art Online Movie: Ordinal Scale,anime,user,ok,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/فيلم-sword-art-online-movie-ordinal-scale-مترجم.jpg
sword-art-online-alicization-2,Sword Art Online: Alicization,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/nx100182-KctPmCJ2smHQ.jpg
sword-art-online-alicization-war-of-underworld-2,Sword Art Online: Alicization - War of Underworld,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx108759-jcXbDf9BJTcb.jpg
sword-art-online-alicization-war-of-underworld-2nd-season-2,Sword Art Online: Alicization - War of Underworld 2nd Season,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx108759-jcXbDf9BJTcb.jpg
sword-art-online-extra-edition,Sword Art Online: Extra Edition,anime,user,ok,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/الحلقة-الخاصة-sword-art-online-extra-edition.jpg
sword-art-online-progressive-movie-hoshi-naki-yoru-no-aria,Sword Art Online: Progressive Movie - Hoshi Naki Yoru no Aria,anime,user,ok,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/فيلم-sword-art-online-progressive-movie-hoshi-naki-yoru-no-aria.jpg
sword-art-online-progressive-movie-kuraki-yuuyami-no-scherzo,Sword Art Online: Progressive Movie - Kuraki Yuuyami no Scherzo,anime,user,ok,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/فيلم-sword-art-online-progressive-movie-kuraki-yuuyami-no-scherzo.jpg
taisou-zamurai,Taisou Zamurai,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx122807-m8jdQLQRSSUI.jpg
tales-of-zestiria-the-x,Tales of Zestiria the X,anime,user,ok,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/tales-of-zestiria-the-x.jpg
tales-of-zestiria-the-x-2nd-season,Tales of Zestiria The X 2nd Season,anime,user,ok,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/tales-of-zestiria-the-x-2nd-season.jpg
tearmoon-teikoku-monogatari-dantoudai-kara-hajimaru-hime-no-tensei-gyakuten-stor,"Tearmoon Teikoku Monogatari: Dantoudai kara Hajimaru,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx154384-3tpmugzrVpE9.jpg
technoroid-overmind,Technoroid: Overmind,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx141062-ylZrIsNqM7rA.png
tengoku-daimakyou,Tengoku Daimakyou,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx155783-YosKbsmZzuDE.jpg
tensei-kizoku-no-isekai-boukenroku-jichou-wo-shiranai-kamigami-no-shito,Tensei Kizoku no Isekai Boukenroku: Jichou wo Shiranai Kamigami no Shito,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx153332-k3Jg04E9jNRo.png
tensei-oujo-to-tensai-reijou-no-mahou-kakumei,Tensei Oujo to Tensai Reijou no Mahou Kakumei,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx153629-LNRlLFrbDTi8.jpg
tensei-shitara-ken-deshita,Tensei shitara Ken Deshita,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx139587-rbZVcigCRtHY.jpg
teppen,Teppen!!!!!!!!!!!!!!!,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b126319-fJbVg8FnxnD8.jpg
tesla-note,Tesla Note,anime,user,ok,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/tesla-note.jpg
the-idolm-ster-cinderella-girls-u149,The IDOLM@STER Cinderella Girls: U149,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx146975-CUs3i5aU8KsU.png
the-idolm-ster-million-live,The iDOLM@STER Million Live!,anime,anilist,ok,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx120755-GNWdZXkBtNlw.jpg
