id,name,type,year,source,image_url,match_status
digimon-adventure,Digimon Adventure,anime,,witanime,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/digimon-adventure.jpg,matched_slug
digimon-ghost-game,Digimon Ghost Game,anime,,witanime,,not_found_on_site
do-it-yourself,Do It Yourself!!,anime,,witanime,,not_found_on_site
dogeza-de-tanondemita,Dogeza de Tanondemita,anime,,witanime,,not_found_on_site
dokyuu-hentai-hxeros,Dokyuu Hentai HxEros,anime,,witanime,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/dokyuu-hentai-hxeros-ova.jpg,matched_name
dokyuu-hentai-hxeros-ova,Dokyuu Hentai HxEros OVA,anime,,witanime,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/dokyuu-hentai-hxeros-ova.jpg,matched_slug
dota-dragon-s-blood,DOTA: Dragon’s Blood,anime,,witanime,,not_found_on_site
dragon-ball-z,Dragon Ball Z,anime,,witanime,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/dragon-ball-z.jpg,matched_slug
dragon-quest-dai-no-daibouken-2020-2,Dragon Quest: Dai no Daibouken (2020),anime,,witanime,,not_found_on_site
dragon-quest-dai-no-daibouken-2020-recap,Dragon Quest: Dai no Daibouken (2020) Recap,anime,,witanime,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/الحلقة-الخاصة-dragon-quest-dai-no-daibouken-2020-recap.jpg,matched_name
dragon-ie-wo-kau,"Dragon, Ie wo Kau",anime,,witanime,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/dragon-ie-wo-kau.jpg,matched_slug
dragon-s-dogma,Dragon's Dogma,anime,,witanime,,not_found_on_site
edomae-elf,Edomae Elf,anime,,witanime,,not_found_on_site
eiyuu-kyoushitsu,Eiyuu Kyoushitsu,anime,,witanime,,not_found_on_site
fairy-tail-2014-2,Fairy Tail (2014),anime,,witanime,,not_found_on_site
fairy-tail-movie-1-houou-no-miko-hajimari-no-asa,Fairy Tail Movie 1: Houou no Miko - Hajimari no Asa,anime,,witanime,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/الحلقة-الخاصة-fairy-tail-movie-1-houou-no-miko-hajimari-no-asa.png,matched_name
fairy-tail-ova-2016,Fairy Tail OVA (2016),anime,,witanime,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/fairy-tail-ova-2016.jpg,matched_slug
fairy-tail-x-rave,Fairy Tail x Rave,anime,,witanime,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/اوفا-fairy-tail-x-rave.jpg,matched_name
fate-grand-order-shinsei-entaku-ryouiki-camelot-1-wandering-agateram,Fate/Grand Order: Shinsei Entaku Ryouiki Camelot 1 - Wandering; Agateram,anime,,witanime,https://pub-7bd753a4463049929e562aa677ad4251.r2.dev/anime/فيلم-fate-grand-order-shinsei-entaku-ryouiki-camelot-1-wandering-agateram-مترجم.jpg,matched_name
