name,type,image_name,page_url
من التالي,series,من-التالي.jpg,https://tuk.tuktukarab.cfd/%D9%85%D8%B3%D9%84%D8%B3%D9%84-%D9%85%D9%86-%D8%A7%D9%84%D8%AA%D8%A7%D9%84%D9%8A-%D8%A7%D9%84%D9%85%D9%88%D8%B3%D9%85-%D8%A7%D9%84%D8%AB%D8%A7%D9%84%D8%AB-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1-%D9%85%D8%AA%D8%B1%D8%AC%D9%85%D8%A9/
Million-Follower Detective,series,million-follower-detective.jpg,https://tuk.tuktukarab.cfd/%D9%85%D8%B3%D9%84%D8%B3%D9%84-%D9%85%D8%AD%D9%82%D9%82%D8%A9-%D9%88%D9%85%D9%84%D9%8A%D9%88%D9%86-%D9%85%D8%AA%D8%A7%D8%A8%D8%B9-million-follower-detective-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1/
Single’s Inferno,series,single-s-inferno.jpg,https://tuk.tuktukarab.cfd/%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D8%AC-singles-inferno-%D8%A7%D9%84%D9%85%D9%88%D8%B3%D9%85-%D8%A7%D9%84%D8%AE%D8%A7%D9%85%D8%B3-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1/
His and Hers,series,his-and-hers.jpg,https://tuk.tuktukarab.cfd/%D9%85%D8%B3%D9%84%D8%B3%D9%84-his-hers-%D8%A7%D9%84%D9%85%D9%88%D8%B3%D9%85-%D8%A7%D9%84%D8%A7%D9%88%D9%84-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1/
Had I Not Seen the Sun,series,had-i-not-seen-the-sun.jpg,https://tuk.tuktukarab.cfd/%D9%85%D8%B3%D9%84%D8%B3%D9%84-%D9%84%D9%88-%D8%A3%D9%86%D9%86%D9%8A-%D9%85%D8%A7-%D8%B1%D8%A3%D9%8A%D8%AA-%D8%A7%D9%84%D8%B4%D9%85%D8%B3-had-i-not-seen-the-sun-part-2-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1/
Hospital Playlist,series,hospital-playlist.jpg,https://tuk.tuktukarab.cfd/%D9%85%D8%B3%D9%84%D8%B3%D9%84-%D9%82%D8%A7%D8%A6%D9%85%D8%A9-%D8%AA%D8%B4%D8%BA%D9%8A%D9%84-%D8%A7%D9%84%D9%85%D8%B3%D8%AA%D8%B4%D9%81%D9%89-hospital-playlist-season-2-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1/
Ai Naki Mori de Sakebe,series,ai-naki-mori-de-sakebe.jpg,https://tuk.tuktukarab.cfd/%D9%85%D8%B3%D9%84%D8%B3%D9%84-%D8%BA%D8%A7%D8%A8%D8%A9-%D8%A7%D9%84%D8%AD%D8%A8-%D8%AC%D8%B1%D9%88%D8%AD-%D8%B9%D9%85%D9%8A%D9%82%D8%A9-the-forest-of-love-deep-cut-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1/
The Leopard,series,the-leopard.jpg,https://tuk.tuktukarab.cfd/%D9%85%D8%B3%D9%84%D8%B3%D9%84-the-leopard-%D8%A7%D9%84%D9%85%D9%88%D8%B3%D9%85-%D8%A7%D9%84%D8%A7%D9%88%D9%84-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1/
The Glory,series,the-glory.jpg,https://tuk.tuktukarab.cfd/%D9%85%D8%B3%D9%84%D8%B3%D9%84-%D9%85%D8%AC%D8%AF-%D8%A7%D9%84%D8%A5%D9%86%D8%AA%D9%82%D8%A7%D9%85-the-glory-part-2-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1/
Partners for Justice,series,partners-for-justice.jpg,https://tuk.tuktukarab.cfd/%D9%85%D8%B3%D9%84%D8%B3%D9%84-%D8%AB%D9%86%D8%A7%D8%A6%D9%8A-%D8%A7%D9%84%D8%AA%D8%AD%D9%82%D9%8A%D9%82-partners-for-justice-season-2-%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A9-1/
